Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,ParentLocationCode,ParentLocation,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
584013,MALARIA_INDIG,COUNTRY,NER,AFR,Africa,YEAR,2010,,,,,,,,,642 774,642774,,,,2023-05-10T14:51:02Z,2010,2010-01-01,2010-12-31
584139,MALARIA_INDIG,COUNTRY,SLE,AFR,Africa,YEAR,2011,,,,,,,,,644 018,644018,,,,2023-05-10T14:50:56Z,2011,2011-01-01,2011-12-31
593264,MALARIA_INDIG,COUNTRY,UZB,EUR,Europe,YEAR,2013,,,,,,,,,0,0,,,,2023-05-10T14:51:03Z,2013,2013-01-01,2013-12-31
621126,MALARIA_INDIG,COUNTRY,PHL,WPR,Western Pacific,YEAR,2020,,,,,,,,,6 094,6094,,,,2023-05-10T14:50:56Z,2020,2020-01-01,2020-12-31
575083,MALARIA_INDIG,COUNTRY,ARG,AMR,Americas,YEAR,2009,,,,,,,,,22,22,,,,2023-05-10T14:51:01Z,2009,2009-01-01,2009-12-31
611459,MALARIA_INDIG,REGION,WPR,,,YEAR,2017,,,,,,,,,639 669,639669,,,,2023-05-10T14:51:04Z,2017,2017-01-01,2017-12-31
593151,MALARIA_INDIG,COUNTRY,UZB,EUR,Europe,YEAR,2012,,,,,,,,,0,0,,,,2023-05-10T14:51:03Z,2012,2012-01-01,2012-12-31
593311,MALARIA_INDIG,COUNTRY,GMB,AFR,Africa,YEAR,2014,,,,,,,,,168 256,168256,,,,2023-05-10T14:51:04Z,2014,2014-01-01,2014-12-31
584076,MALARIA_INDIG,COUNTRY,COL,AMR,Americas,YEAR,2011,,,,,,,,,64 436,64436,,,,2023-05-10T14:50:50Z,2011,2011-01-01,2011-12-31
621261,MALARIA_INDIG,COUNTRY,TUR,EUR,Europe,YEAR,2021,,,,,,,,,0,0,,,,2023-05-10T14:51:08Z,2021,2021-01-01,2021-12-31
