Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,ParentLocationCode,ParentLocation,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
807614,MALARIA_PF_INDIG,REGION,AMR,,,YEAR,2016,,,,,,,,,150 943,150943,,,,2023-05-10T14:52:39Z,2016,2016-01-01,2016-12-31
826731,MALARIA_PF_INDIG,COUNTRY,LBR,AFR,Africa,YEAR,2021,,,,,,,,,912 436,912436,,,,2023-05-10T14:52:43Z,2021,2021-01-01,2021-12-31
807622,MALARIA_PF_INDIG,COUNTRY,BWA,AFR,Africa,YEAR,2016,,,,,,,,,640,640,,,,2023-05-10T14:52:46Z,2016,2016-01-01,2016-12-31
798708,MALARIA_PF_INDIG,COUNTRY,SUR,AMR,Americas,YEAR,2012,,,,,,,,,161,161,,,,2023-05-10T14:52:48Z,2012,2012-01-01,2012-12-31
807658,MALARIA_PF_INDIG,COUNTRY,LBR,AFR,Africa,YEAR,2016,,,,,,,,,809 356,809356,,,,2023-05-10T14:52:43Z,2016,2016-01-01,2016-12-31
817178,MALARIA_PF_INDIG,REGION,EUR,,,YEAR,2018,,,,,,,,,0,0,,,,2023-05-10T14:52:48Z,2018,2018-01-01,2018-12-31
789669,MALARIA_PF_INDIG,COUNTRY,MYT,AFR,Africa,YEAR,2011,,,,,,,,,38,38,,,,2023-05-10T14:52:43Z,2011,2011-01-01,2011-12-31
798741,MALARIA_PF_INDIG,COUNTRY,DOM,AMR,Americas,YEAR,2013,,,,,,,,,473,473,,,,2023-05-10T14:52:40Z,2013,2013-01-01,2013-12-31
798803,MALARIA_PF_INDIG,COUNTRY,VNM,WPR,Western Pacific,YEAR,2013,,,,,,,,,9 532,9532,,,,2023-05-10T14:52:36Z,2013,2013-01-01,2013-12-31
807662,MALARIA_PF_INDIG,COUNTRY,MWI,AFR,Africa,YEAR,2016,,,,,,,,,4 730 835,4730835,,,,2023-05-10T14:52:39Z,2016,2016-01-01,2016-12-31
826764,MALARIA_PF_INDIG,COUNTRY,TLS,SEAR,South-East Asia,YEAR,2021,,,,,,,,,0,0,,,,2023-05-10T14:52:39Z,2021,2021-01-01,2021-12-31
817254,MALARIA_PF_INDIG,COUNTRY,BTN,SEAR,South-East Asia,YEAR,2019,,,,,,,,,0,0,,,,2023-05-10T14:52:46Z,2019,2019-01-01,2019-12-31
807651,MALARIA_PF_INDIG,COUNTRY,IND,SEAR,South-East Asia,YEAR,2016,,,,,,,,,706 257,706257,,,,2023-05-10T14:52:45Z,2016,2016-01-01,2016-12-31
826724,MALARIA_PF_INDIG,COUNTRY,IDN,SEAR,South-East Asia,YEAR,2021,,,,,,,,,152 724,152724,,,,2023-05-10T14:52:43Z,2021,2021-01-01,2021-12-31
826624,MALARIA_PF_INDIG,COUNTRY,GEO,EUR,Europe,YEAR,2020,,,,,,,,,0,0,,,,2023-05-10T14:52:43Z,2020,2020-01-01,2020-12-31
807626,MALARIA_PF_INDIG,COUNTRY,CMR,AFR,Africa,YEAR,2016,,,,,,,,,1 675 264,1675264,,,,2023-05-10T14:52:39Z,2016,2016-01-01,2016-12-31
826656,MALARIA_PF_INDIG,COUNTRY,PER,AMR,Americas,YEAR,2020,,,,,,,,,3 198,3198,,,,2023-05-10T14:52:41Z,2020,2020-01-01,2020-12-31
