Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,ParentLocationCode,ParentLocation,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
1124739,MALARIA_TOTAL_CASES,COUNTRY,SLV,AMR,Americas,YEAR,2005,,,,,,,,,67,67,,,,2023-05-10T14:54:36Z,2005,2005-01-01,2005-12-31
1114770,MALARIA_TOTAL_CASES,COUNTRY,TUR,EUR,Europe,YEAR,2002,,,,,,,,,10 264,10264,,,,2023-05-10T14:54:26Z,2002,2002-01-01,2002-12-31
1176894,MALARIA_TOTAL_CASES,COUNTRY,CPV,AFR,Africa,YEAR,2018,,,,,,,,,21,21,,,,2023-05-10T14:54:37Z,2018,2018-01-01,2018-12-31
1135437,MALARIA_TOTAL_CASES,COUNTRY,KHM,WPR,Western Pacific,YEAR,2008,,,,,,,,,116 769,116769,,,,2023-05-10T14:54:34Z,2008,2008-01-01,2008-12-31
1176883,MALARIA_TOTAL_CASES,COUNTRY,BRA,AMR,Americas,YEAR,2018,,,,,,,,,244 042,244042,,,,2023-05-10T14:54:43Z,2018,2018-01-01,2018-12-31
1186436,MALARIA_TOTAL_CASES,COUNTRY,LKA,SEAR,South-East Asia,YEAR,2018,,,,,,,,,52,52,,,,2023-05-10T14:54:37Z,2018,2018-01-01,2018-12-31
1145712,MALARIA_TOTAL_CASES,COUNTRY,PNG,WPR,Western Pacific,YEAR,2010,,,,,,,,,1 379 787,1379787,,,,2023-05-10T14:54:41Z,2010,2010-01-01,2010-12-31
1176893,MALARIA_TOTAL_CASES,COUNTRY,COM,AFR,Africa,YEAR,2018,,,,,,,,,19 682,19682,,,,2023-05-10T14:54:53Z,2018,2018-01-01,2018-12-31
1156703,MALARIA_TOTAL_CASES,COUNTRY,IND,SEAR,South-East Asia,YEAR,2013,,,,,,,,,881 730,881730,,,,2023-05-10T14:54:29Z,2013,2013-01-01,2013-12-31
1166405,MALARIA_TOTAL_CASES,COUNTRY,ARM,EUR,Europe,YEAR,2015,,,,,,,,,2,2,,,,2023-05-10T14:54:40Z,2015,2015-01-01,2015-12-31
1145638,MALARIA_TOTAL_CASES,COUNTRY,ARG,AMR,Americas,YEAR,2010,,,,,,,,,121,121,,,,2023-05-10T14:54:40Z,2010,2010-01-01,2010-12-31
1135473,MALARIA_TOTAL_CASES,COUNTRY,SOM,EMR,Eastern Mediterranean,YEAR,2008,,,,,,,,,82 980,82980,,,,2023-05-10T14:54:46Z,2008,2008-01-01,2008-12-31
1145696,MALARIA_TOTAL_CASES,COUNTRY,MLI,AFR,Africa,YEAR,2010,,,,,,,,,2 191 285,2191285,,,,2023-05-10T14:54:45Z,2010,2010-01-01,2010-12-31
1124723,MALARIA_TOTAL_CASES,COUNTRY,NPL,SEAR,South-East Asia,YEAR,2005,,,,,,,,,178 056,178056,,,,2023-05-10T14:54:57Z,2005,2005-01-01,2005-12-31
1186493,MALARIA_TOTAL_CASES,COUNTRY,AGO,AFR,Africa,YEAR,2019,,,,,,,,,7 530 788,7530788,,,,2023-05-10T14:54:47Z,2019,2019-01-01,2019-12-31
1186446,MALARIA_TOTAL_CASES,COUNTRY,MYT,AFR,Africa,YEAR,2018,,,,,,,,,47,47,,,,2023-05-10T14:54:51Z,2018,2018-01-01,2018-12-31
1124857,MALARIA_TOTAL_CASES,COUNTRY,SYR,EMR,Eastern Mediterranean,YEAR,2006,,,,,,,,,34,34,,,,2023-05-10T14:54:26Z,2006,2006-01-01,2006-12-31
1104366,MALARIA_TOTAL_CASES,COUNTRY,CPV,AFR,Africa,YEAR,2000,,,,,,,,,144,144,,,,2023-05-10T14:54:28Z,2000,2000-01-01,2000-12-31
1135356,MALARIA_TOTAL_CASES,COUNTRY,SLB,WPR,Western Pacific,YEAR,2007,,,,,,,,,150 126,150126,,,,2023-05-10T14:54:49Z,2007,2007-01-01,2007-12-31
1166323,MALARIA_TOTAL_CASES,COUNTRY,GIN,AFR,Africa,YEAR,2014,,,,,,,,,1 595 828,1595828,,,,2023-05-10T14:54:54Z,2014,2014-01-01,2014-12-31
1124744,MALARIA_TOTAL_CASES,COUNTRY,SWZ,AFR,Africa,YEAR,2005,,,,,,,,,6 066,6066,,,,2023-05-10T14:54:31Z,2005,2005-01-01,2005-12-31
1114852,MALARIA_TOTAL_CASES,COUNTRY,PAK,EMR,Eastern Mediterranean,YEAR,2003,,,,,,,,,4 210 611,4210611,,,,2023-05-10T14:54:53Z,2003,2003-01-01,2003-12-31
1124697,MALARIA_TOTAL_CASES,COUNTRY,HND,AMR,Americas,YEAR,2005,,,,,,,,,16 007,16007,,,,2023-05-10T14:54:37Z,2005,2005-01-01,2005-12-31
1104512,MALARIA_TOTAL_CASES,COUNTRY,PHL,WPR,Western Pacific,YEAR,2001,,,,,,,,,34 968,34968,,,,2023-05-10T14:54:54Z,2001,2001-01-01,2001-12-31
1145736,MALARIA_TOTAL_CASES,COUNTRY,TZA,AFR,Africa,YEAR,2010,,,,,,,,,12 893 899,12893899,,,,2023-05-10T14:54:37Z,2010,2010-01-01,2010-12-31
