Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,ParentLocationCode,ParentLocation,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
7261382,MALARIA_EST_INCIDENCE,COUNTRY,OMN,EMR,Eastern Mediterranean,YEAR,2010,,,,,,,,,0 [0-0],0,0,0,,2024-03-08T11:10:32Z,2010,2010-01-01,2010-12-31
7261616,MALARIA_EST_INCIDENCE,COUNTRY,NIC,AMR,Americas,YEAR,2014,,,,,,,,,0.26 [0.22-0.31],0.26466,0.22018,0.31206,,2024-03-08T11:10:32Z,2014,2014-01-01,2014-12-31
7261234,MALARIA_EST_INCIDENCE,COUNTRY,MEX,AMR,Americas,YEAR,2000,,,,,,,,,3.56 [3.56-3.56],3.56159,3.56159,3.56159,,2024-03-08T11:10:32Z,2000,2000-01-01,2000-12-31
7263032,MALARIA_EST_INCIDENCE,UNSDGREGION,UNSDG_WESTERNAFR,,,YEAR,2004,,,,,,,,,395.50 [347.83-448.96],395.50208,347.82603,448.96499,"Nature of data for some countries in this region are either (M) modelled, E(Estimated), CA (Country adjusted ) or  (C) Country data",2024-03-08T11:10:32Z,2004,2004-01-01,2004-12-31
7260774,MALARIA_EST_INCIDENCE,COUNTRY,IDN,SEAR,South-East Asia,YEAR,2000,,,,,,,,,5.33 [4.41-6.54],5.33166,4.41447,6.54434,,2024-03-08T11:10:32Z,2000,2000-01-01,2000-12-31
7263250,MALARIA_EST_INCIDENCE,UNSDGREGION,UNSDG_CENTRALASIA,,,YEAR,2015,,,,,,,,,0 [0-0],0,0,0,"Nature of data for some countries in this region are either (M) modelled, E(Estimated), CA (Country adjusted ) or  (C) Country data",2024-03-08T11:10:32Z,2015,2015-01-01,2015-12-31
7260940,MALARIA_EST_INCIDENCE,COUNTRY,KEN,AFR,Africa,YEAR,2005,,,,,,,,,139.15 [105.03-180.96],139.15367,105.03222,180.9565,,2024-03-08T11:10:32Z,2005,2005-01-01,2005-12-31
7261044,MALARIA_EST_INCIDENCE,COUNTRY,LAO,WPR,Western Pacific,YEAR,2017,,,,,,,,,4.01 [2.89-5.32],4.01206,2.89487,5.32151,,2024-03-08T11:10:32Z,2017,2017-01-01,2017-12-31
7261253,MALARIA_EST_INCIDENCE,COUNTRY,MEX,AMR,Americas,YEAR,2019,,,,,,,,,0.23 [0.23-0.23],0.23305,0.23305,0.23305,,2024-03-08T11:10:32Z,2019,2019-01-01,2019-12-31
7262551,MALARIA_EST_INCIDENCE,COUNTRY,TKM,EUR,Europe,YEAR,2006,,,,,,,,,0 [0-0],0.00311,0.00311,0.00311,,2024-03-08T11:10:32Z,2006,2006-01-01,2006-12-31
7261367,MALARIA_EST_INCIDENCE,COUNTRY,ARM,EUR,Europe,YEAR,2018,,,,,,,,,0 [0-0],0,0,0,,2024-03-08T11:10:32Z,2018,2018-01-01,2018-12-31
