Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,ParentLocationCode,ParentLocation,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
556304,MALARIA_IMPORTED,COUNTRY,CHN,WPR,Western Pacific,YEAR,2014,,,,,,,,,3 026,3026,,,,2022-02-10T08:19:41Z,2014,2014-01-01,2014-12-31
556303,MALARIA_IMPORTED,COUNTRY,BWA,AFR,Africa,YEAR,2014,,,,,,,,,30,30,,,,2022-02-10T08:19:41Z,2014,2014-01-01,2014-12-31
556231,MALARIA_IMPORTED,COUNTRY,CRI,AMR,Americas,YEAR,2012,,,,,,,,,1,1,,,,2022-02-10T08:19:41Z,2012,2012-01-01,2012-12-31
556280,MALARIA_IMPORTED,COUNTRY,NIC,AMR,Americas,YEAR,2013,,,,,,,,,34,34,,,,2022-02-10T08:19:43Z,2013,2013-01-01,2013-12-31
556309,MALARIA_IMPORTED,REGION,EMR,,,YEAR,2014,,,,,,,,,  6 242,6242,,,,2022-04-14T12:41:09Z,2014,2014-01-01,2014-12-31
556237,MALARIA_IMPORTED,GLOBAL,GLOBAL,,,YEAR,2012,,,,,,,,,  20 322,20322,,,,2022-04-14T12:41:17Z,2012,2012-01-01,2012-12-31
556331,MALARIA_IMPORTED,COUNTRY,TJK,EUR,Europe,YEAR,2014,,,,,,,,,5,5,,,,2022-02-10T08:19:45Z,2014,2014-01-01,2014-12-31
565213,MALARIA_IMPORTED,COUNTRY,ZAF,AFR,Africa,YEAR,2019,,,,,,,,,8 890,8890,,,,2022-02-10T08:19:44Z,2019,2019-01-01,2019-12-31
556236,MALARIA_IMPORTED,COUNTRY,GEO,EUR,Europe,YEAR,2012,,,,,,,,,4,4,,,,2022-02-10T08:19:42Z,2012,2012-01-01,2012-12-31
565120,MALARIA_IMPORTED,COUNTRY,GEO,EUR,Europe,YEAR,2018,,,,,,,,,9,9,,,,2022-02-10T08:19:42Z,2018,2018-01-01,2018-12-31
556325,MALARIA_IMPORTED,COUNTRY,PHL,WPR,Western Pacific,YEAR,2014,,,,,,,,,68,68,,,,2022-02-10T08:19:44Z,2014,2014-01-01,2014-12-31
